;No;;;Tanggal;;;PM10;;;SO2;;;CO;;;O3;;;NO2;;;Output;;
113;;;23/04/2014;;;29,89;;;25,53;;;0,15;;;45,4;;;11,98;;;;B;;
114;;;24/04/2014;;;30,72;;;25,92;;;0,23;;;44,8;;;11,83;;;;S;;
115;;;25/04/2014;;;33,21;;;25,26;;;0,13;;;51,96;;;11,16;;;;B;;
116;;;26/04/2014;;;11,93;;;24,36;;;0,06;;;40,94;;;9,78;;;;S;;
117;;;27/04/2014;;;8,27;;;23,65;;;0,04;;;46,28;;;9,94;;;;B;;
118;;;28/04/2014;;;11,18;;;23,67;;;0,06;;;40,05;;;9,28;;;;B;;
119;;;29/04/2014;;;20,75;;;24,94;;;0,1;;;35,97;;;11,16;;;;B;;
120;;;30/04/2014;;;20,13;;;25,23;;;0,11;;;40,06;;;9,9;;;;B;;
121;;;05/01/2014;;;---;;;24,79;;;0,08;;;44,67;;;11,11;;;;B;;
122;;;05/02/2014;;;---;;;23,65;;;0,07;;;45,07;;;10,3;;;;B;;
123;;;05/03/2014;;;---;;;24,57;;;0,08;;;39,06;;;11,02;;;;B;;
124;;;05/04/2014;;;---;;;24,87;;;0,05;;;44,01;;;10,03;;;;B;;
125;;;05/05/2014;;;---;;;25,81;;;0,08;;;47,1;;;12,09;;;;B;;
126;;;05/06/2014;;;23,65;;;26,43;;;0,14;;;37,78;;;10,28;;;;B;;
127;;;05/07/2014;;;28,91;;;27,66;;;0,18;;;53,03;;;10,16;;;;B;;
128;;;05/08/2014;;;20,63;;;26,11;;;0,3;;;47,73;;;10,32;;;;B;;
129;;;05/09/2014;;;14,5;;;25,94;;;0,11;;;47,43;;;10,58;;;;B;;
130;;;05/10/2014;;;12,49;;;25,34;;;0,11;;;41,98;;;10,32;;;;B;;
131;;;05/11/2014;;;19,97;;;25;;;0,17;;;37,93;;;8,26;;;;B;;
132;;;05/12/2014;;;11,73;;;24,1;;;0,06;;;38,77;;;9,12;;;;B;;
133;;;13/05/2014;;;13,61;;;23,78;;;0,07;;;44,85;;;10,76;;;;B;;
134;;;14/05/2014;;;5,17;;;23,27;;;0,07;;;39,22;;;8,94;;;;B;;
135;;;15/05/2014;;;21,17;;;24,13;;;0,08;;;50,22;;;10,97;;;;B;;
136;;;16/05/2014;;;19,22;;;24,13;;;0,15;;;40,05;;;9,31;;;;B;;
137;;;17/05/2014;;;12,09;;;24,24;;;0,18;;;35,37;;;10,63;;;;B;;
138;;;18/05/2014;;;10,39;;;24,58;;;0,08;;;28,15;;;9,53;;;;B;;
139;;;19/05/2014;;;9,33;;;24,24;;;0,05;;;31,9;;;9,6;;;;B;;
140;;;20/05/2014;;;15,18;;;24,33;;;0,05;;;29,98;;;9,9;;;;B;;
141;;;21/05/2014;;;12,91;;;24,18;;;0,08;;;41,81;;;10,29;;;;B;;
142;;;22/05/2014;;;11,07;;;22,85;;;0,02;;;40,46;;;9,71;;;;B;;
143;;;23/05/2014;;;15,14;;;26,06;;;0,08;;;36,25;;;10,23;;;;B;;
144;;;24/05/2014;;;15,63;;;28,03;;;0,06;;;34,42;;;9,81;;;;B;;
145;;;25/05/2014;;;15,44;;;25,2;;;0,02;;;39,28;;;10,21;;;;B;;
146;;;26/05/2014;;;18,12;;;25,5;;;0,08;;;29,23;;;9,43;;;;B;;
147;;;27/05/2014;;;7,61;;;23,89;;;0,02;;;36,78;;;8,79;;;;B;;
148;;;28/05/2014;;;15,99;;;24,48;;;0,14;;;36,77;;;8,73;;;;B;;
149;;;29/05/2014;;;24,33;;;26;;;0,07;;;38,59;;;10,85;;;;B;;
150;;;30/05/2014;;;20,91;;;26,24;;;0,15;;;32,48;;;9,76;;;;B;;
151;;;31/05/2014;;;15,63;;;25,76;;;0,11;;;29,78;;;9,18;;;;B;;
152;;;06/01/2014;;;21,25;;;27,49;;;0,15;;;26,72;;;8,39;;;;B;;
153;;;06/02/2014;;;15,38;;;26,67;;;0,12;;;34,31;;;7,79;;;;B;;
154;;;06/03/2014;;;25,44;;;26,78;;;0,24;;;30,89;;;11,39;;;;B;;
155;;;06/04/2014;;;30,78;;;25,22;;;0,08;;;35,8;;;11,48;;;;B;;
156;;;06/05/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
157;;;06/06/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
158;;;06/07/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
159;;;06/08/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
160;;;06/09/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
161;;;06/10/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
162;;;06/11/2014;;;30,11;;;---;;;0,15;;;39,19;;;10,67;;;;B;;
163;;;06/12/2014;;;29,17;;;---;;;0,24;;;44,41;;;10,42;;;;B;;
164;;;13/06/2014;;;25,26;;;---;;;0,12;;;38,35;;;9,3;;;;B;;
165;;;14/06/2014;;;25,83;;;---;;;0,13;;;43,15;;;10,68;;;;B;;
166;;;15/06/2014;;;27,88;;;---;;;0,05;;;38,31;;;10,75;;;;S;;
167;;;16/06/2014;;;28,86;;;---;;;0,12;;;38,07;;;10,52;;;;B;;
168;;;17/06/2014;;;31,75;;;---;;;0,1;;;49,4;;;9,59;;;;S;;
169;;;18/06/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
170;;;19/06/2014;;;---;;;---;;;---;;;---;;;---;;;;B;;
171;;;20/06/2014;;;47,21;;;25,86;;;0,37;;;59,03;;;10,42;;;;B;;
172;;;21/06/2014;;;52,44;;;26,49;;;0,26;;;44,21;;;10,74;;;;S;;
173;;;22/06/2014;;;47,99;;;27,87;;;0,25;;;42,93;;;9;;;;S;;
174;;;23/06/2014;;;34,08;;;25,4;;;0,12;;;42,59;;;10,53;;;;S;;
175;;;24/06/2014;;;32,75;;;25,29;;;0,13;;;45,61;;;10,65;;;;S;;
176;;;25/06/2014;;;30,11;;;24,99;;;0,12;;;40,47;;;10,67;;;;B;;
177;;;26/06/2014;;;43,45;;;25,07;;;0,11;;;41,45;;;11,75;;;;B;;
178;;;27/06/2014;;;39,14;;;24,11;;;0,09;;;37,03;;;8,45;;;;B;;
179;;;28/06/2014;;;48,13;;;27,38;;;0,39;;;40,61;;;9,94;;;;B;;
180;;;29/06/2014;;;98,09;;;29,08;;;0,43;;;49,26;;;13,85;;;;S;;
181;;;30/06/2014;;;---;;;25,27;;;0,08;;;36,83;;;9,88;;;;B;;
182;;;07/01/2014;;;28,93;;;23,5;;;0,11;;;41,93;;;10,65;;;;B;;
